city,"April 09, 2020","April 08, 2020","April 07, 2020","April 06, 2020","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020",Density
Unincorporated - Sun Village,--,--,--,--,--,--,--,--,--,--,0,0,0,0,Sun Village,,,,,,--
Unincorporated - Sunrise Village,--,--,--,0,0,0,0,0,0,0,0,0,0,0,Sunrise Village,,,,,,--
Unincorporated - Twin Lakes/Oat Mountain,--,--,--,--,--,--,--,--,--,0,0,0,0,0,Twin Lakes/Oat Mountain,,,,,,--
Unincorporated - Universal City,0,0,0,0,0,0,0,0,0,0,0,0,0,,Universal City,,,,,,
Unincorporated - Val Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Val Verde,,,,,,0
Unincorporated - Valencia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Valencia,,,,,,--
Unincorporated - Valinda,8,7,7,7,6,5,--,--,--,--,--,--,--,--,Valinda,1,1,,,,34.23
Unincorporated - View Park/Windsor Hills,14,14,14,13,12,11,8,7,7,0,0,0,0,0,View Park/Windsor Hills,,,,,,120.33
Unincorporated - Walnut,0,0,0,0,0,0,0,0,0,0,0,0,0,,Walnut,1,1,1,1,1,
Unincorporated - Walnut Park,17,13,12,8,7,--,--,--,0,0,0,0,0,0,Walnut Park,,,,,,105.31
Unincorporated - West Antelope Valley,--,--,--,--,--,--,--,--,--,0,0,0,0,0,West Antelope Valley,,,,,,--
Unincorporated - West Carson,26,23,21,20,20,18,15,11,11,9,8,7,6,5,West Carson,,,,,,117.72
Unincorporated - West Chatsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,,West Chatsworth,,,,,,
Unincorporated - West LA,--,--,--,--,--,17,11,--,--,--,--,--,--,--,West LA,,,,,,--
Unincorporated - West Puente Valley,--,--,--,--,--,--,--,--,--,0,0,0,0,0,West Puente Valley,,,,,,--
Unincorporated - West Rancho Dominguez,--,--,--,--,--,--,0,0,0,0,0,0,0,0,West Rancho Dominguez,,,,,,--
Unincorporated - West Whittier/Los Nietos,10,10,8,8,8,7,3,2,1,0,0,0,0,0,West Whittier/Los Nietos,1,,,,,37.14
Unincorporated - Westfield/Academy Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Westfield/Academy Hills,,,,,,0
Unincorporated - Westhills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Westhills,,,,,,0
Unincorporated - White Fence Farms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White Fence Farms,,,,,,0
Unincorporated - Whittier,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Whittier,3,3,3,2,2,--
Unincorporated - Whittier Narrows,0,0,0,0,0,0,0,0,0,0,0,0,0,,Whittier Narrows,,,,,,
Unincorporated - Willowbrook,20,19,15,14,12,10,8,6,5,2,2,1,1,1,Willowbrook,1,1,1,,,57.29
Unincorporated - Wiseburn,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Wiseburn,,,,,,--
-  Under Investigation,633,732,599,599,614,606,518,505,394,309,222,184,154,143,-  Under Investigation,141,56,62,61,38,
City of Pasadena,94,80,72,58,58,37,37,37,33,25,10,10,9,9,Pasadena,9,7,6,3,3,68.07
